timestamp,open,high,low,close,volume
2024-12-16,483.0400,490.6650,481.7420,484.9000,1398768
2024-12-13,479.5850,484.6000,474.5400,483.3100,1432067
2024-12-12,477.0000,487.8199,475.0000,480.1100,1607411
2024-12-11,474.9800,478.9400,469.5050,476.9100,1948991
2024-12-10,480.0000,488.4291,465.3401,471.5800,2783808
2024-12-09,496.5200,497.0000,481.0000,482.5200,2903253
2024-12-06,495.2200,499.0200,487.6900,498.6300,1841230
2024-12-05,492.6000,495.0600,480.6600,493.5100,2241048
2024-12-04,493.5000,506.4729,490.2277,502.3800,2489107
2024-12-03,477.2800,494.0000,477.0000,493.3200,2160288
2024-12-02,478.7650,482.3800,473.0100,480.2700,2040172
2024-11-29,475.7200,478.8700,473.3300,476.9600,981171
2024-11-27,480.3000,484.2900,473.1750,475.2400,2045599
2024-11-26,477.5500,482.7200,474.3350,476.6100,2660794
2024-11-25,483.3500,485.4600,466.8800,481.3800,27687736
2024-11-22,471.8100,480.0900,469.4900,475.0400,2296207
2024-11-21,468.2200,473.6200,465.5035,470.7000,2181792
2024-11-20,467.7800,473.0000,460.6487,470.0100,2386422
2024-11-19,454.3000,465.2100,450.0000,463.8300,2799585
2024-11-18,460.6400,460.6400,452.4900,454.3600,2950157
2024-11-15,474.0000,474.0000,457.5400,458.3200,3024154
2024-11-14,471.0000,489.6900,466.3600,477.5000,5040192
2024-11-13,460.2600,473.0000,445.0001,467.3700,12048765
2024-11-12,415.8100,420.0000,411.4000,419.3900,6596682
2024-11-11,405.1100,412.9500,404.7900,410.1900,3289863
2024-11-08,399.1500,405.9300,397.3300,400.6800,2038256
2024-11-07,399.0000,403.7600,391.4200,399.8400,2694520
2024-11-06,386.1000,392.1200,376.0400,391.1600,2029672
2024-11-05,380.2700,384.0700,378.3800,382.6300,1019523
2024-11-04,380.9400,383.7450,377.1100,377.7300,1235306
2024-11-01,382.5100,389.3300,380.6300,384.5000,1545695
2024-10-31,390.0800,393.7400,381.6700,385.1000,1786507
2024-10-30,391.6800,395.6800,389.1400,394.0200,1345886
2024-10-29,386.7000,397.1950,384.2200,391.2300,1923330
2024-10-28,388.0000,388.5550,381.1000,384.3600,1301059
2024-10-25,376.7000,382.9999,376.0000,379.1600,789763
2024-10-24,382.0000,383.5900,376.0300,376.8700,897584
2024-10-23,387.6300,388.7300,378.9000,379.8400,1289776
2024-10-22,381.9900,389.4800,381.8000,387.6300,1945597
2024-10-21,377.4300,382.5500,376.0600,381.9700,1091979
2024-10-18,370.0000,384.2100,369.4200,378.8800,1680980
2024-10-17,372.3800,373.9899,366.6500,366.7500,1242624
2024-10-16,375.0000,376.8600,368.4100,371.6900,997206
2024-10-15,373.6100,374.2000,364.2564,372.6000,1085494
2024-10-14,375.0000,377.1800,370.2300,372.5000,949663
2024-10-11,379.1100,380.0000,373.3900,373.7000,1260659
2024-10-10,375.0000,382.7675,375.0000,378.0000,1681037
2024-10-09,370.0000,376.1400,368.3500,373.9800,1061222
2024-10-08,366.5800,371.9528,365.0300,370.3800,1023544
2024-10-07,369.3600,371.0000,362.3100,362.9500,1749213
2024-10-04,376.3800,379.4800,368.1100,371.4500,1095140
2024-10-03,372.5700,376.6900,371.7400,372.6000,946987
2024-10-02,374.4600,377.3679,371.5300,374.7500,1504724
2024-10-01,370.4900,375.6600,367.9300,375.4000,1565937
2024-09-30,369.0500,373.3800,366.2500,368.5300,1553557
2024-09-27,376.7600,377.4100,365.9100,369.2000,2904197
2024-09-26,386.7200,389.2300,373.0800,379.1600,1781106
2024-09-25,377.8000,386.9600,375.7110,383.9600,1667501
2024-09-24,374.8300,382.6000,371.0000,380.3600,2547763
2024-09-23,367.0000,371.1100,363.5300,369.0100,1777830
2024-09-20,363.8200,366.7900,362.0000,365.1700,1434068
2024-09-19,350.0000,368.2900,348.9600,360.2200,2811760
2024-09-18,342.8500,346.8200,340.3700,343.9700,1150172
2024-09-17,341.0400,346.9800,339.2800,342.1500,950769
2024-09-16,343.0200,344.0000,337.1501,338.8300,1129750
2024-09-13,337.7900,344.5182,337.5300,337.9000,994441
2024-09-12,338.2500,342.1700,337.1300,337.5100,944148
2024-09-11,328.1100,337.2300,326.0000,336.6600,1058835
2024-09-10,326.5200,328.1500,324.1600,327.0000,741454
2024-09-09,324.5000,329.0400,322.3500,324.0700,828229
2024-09-06,331.2600,331.9200,319.0700,322.7700,1162291
2024-09-05,323.3800,329.6000,322.6200,328.6300,1542578
2024-09-04,327.8000,336.3800,327.0700,329.2500,825533
2024-09-03,340.0500,342.4000,326.0950,328.6000,1632775
2024-08-30,341.1700,343.5050,337.4700,342.8800,1077146
2024-08-29,338.8000,344.5000,338.8000,340.7300,1453065
2024-08-28,338.3100,339.5400,334.0900,337.5600,976896
2024-08-27,333.5100,343.2600,333.0000,339.4700,1412934
2024-08-26,342.5000,343.8100,333.6100,336.0700,1184596
2024-08-23,342.4100,347.9796,340.1759,342.4900,1490342
2024-08-22,345.0100,350.3200,340.5200,342.2000,1706719
2024-08-21,345.1600,347.8600,343.3050,343.6900,1756369
2024-08-20,346.5500,348.8499,342.7450,346.2800,1557049
2024-08-19,335.0000,346.1700,334.5650,344.6900,2043212
2024-08-16,335.2100,338.9100,332.8200,337.3800,1513287
2024-08-15,337.0000,341.6371,333.9100,335.5900,2115595
2024-08-14,335.9900,338.5100,332.3700,334.3500,1831135
2024-08-13,339.0000,340.3100,333.8000,334.7400,2081347
